X,Y,FID,Ano,Codregion,Region,Comuna,Zona,Calle1,Calle2,Numero,lat,lng,Claseaccid,Cód_Comun,Cód_Zona,Zona_1,Cód_Ubica,Ubicación,Cód_Calle,Intersecci,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.796967,-33.520012,1,2019,13,REGION METROPOLITANA,MAIPU,URBANA,EL CONQUISTADOR,PORTALES,NULL,-33.520012,-70.796967,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190869,EL CONQUISTADOR - PORTALES,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-70.795052,-33.509048,2,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LA GALAXIA,JOSE MANUEL BORGONO,NULL,-33.509048,-70.795052,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131191627,JOSE MANUEL BORGONO - LA GALAXIA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,1,0,1
-70.79435,-33.520458,3,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LA GALAXIA,CAMPANARIO,NULL,-33.520458,-70.79435,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131191627,CAMPANARIO - LA GALAXIA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,1,0,0,1
-70.793259,-33.516968,4,2019,13,REGION METROPOLITANA,MAIPU,URBANA,SENECA,NULL,1589,-33.516968,-70.793259,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192904,- SENECA,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-70.791824,-33.524891,5,2019,13,REGION METROPOLITANA,MAIPU,URBANA,4 PONIENTE,NVA SAN MARTIN,NULL,-33.524891,-70.791824,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190024,4 PONIENTE - NVA SAN MARTIN,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,1,0,1,1
-70.790794,-33.513222,6,2019,13,REGION METROPOLITANA,MAIPU,URBANA,AGUA SANTA,4 PONIENTE,NULL,-33.513222,-70.790794,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131190053,4 PONIENTE - AGUA SANTA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,1,0,0,1
-70.790604,-33.517189,7,2019,13,REGION METROPOLITANA,MAIPU,URBANA,SAN JOSE,NULL,2357,-33.517189,-70.790604,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192874,- SAN JOSE,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.790367,-33.507755,8,2019,13,REGION METROPOLITANA,MAIPU,URBANA,4 PONIENTE,VICARIA,NULL,-33.507755,-70.790367,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190024,4 PONIENTE - VICARIA,2,0,1,UNIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-70.790199,-33.557583,9,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LAGO BOLSENA,PARQUE CENTRAL ORIENTE,NULL,-33.557583,-70.790199,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131191688,LAGO BOLSENA - PARQUE CENTRAL ORIENTE,2,2,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,0,1
-70.788033,-33.537144,10,2019,13,REGION METROPOLITANA,MAIPU,URBANA,4 PONIENTE,PDTE GABRIEL GONZALEZ VIDELA,NULL,-33.537144,-70.788033,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131190024,4 PONIENTE - PDTE GABRIEL GONZALEZ VIDELA,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,1
-70.786224,-33.538738,11,2019,13,REGION METROPOLITANA,MAIPU,URBANA,4 PONIENTE,PDTE JOSE MANUEL BALMACEDA,NULL,-33.538738,-70.786224,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190024,4 PONIENTE - PDTE JOSE MANUEL BALMACEDA,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.786041,-33.518322,12,2019,13,REGION METROPOLITANA,MAIPU,URBANA,PORTALES,LAS NACIONES,NULL,-33.518322,-70.786041,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192605,LAS NACIONES - PORTALES,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-70.784424,-33.506737,13,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A RINCONADA,CASAS DE LOS ESPEJOS,NULL,-33.506737,-70.784424,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190394,CAMINO A RINCONADA - CASAS DE LOS ESPEJOS,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,1,0,2,1
-70.783676,-33.452297,14,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,CAMINO PEDRO JORQUERA,SAN PEDRO,NULL,-33.452297,-70.783676,1,13124,1,URBANA,14,CRUCE CON SEÑAL PARE,131240154,CAMINO PEDRO JORQUERA - SAN PEDRO,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,1,0,0,1
-70.783577,-33.536934,15,2019,13,REGION METROPOLITANA,MAIPU,URBANA,PDTE JOSE MANUEL BALMACEDA,LLUTA,NULL,-33.536934,-70.783577,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192511,LLUTA - PDTE JOSE MANUEL BALMACEDA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,1,0,0,1
-70.783035,-33.516975,16,2019,13,REGION METROPOLITANA,MAIPU,URBANA,SAN JOSE,HUITICALAN,NULL,-33.516975,-70.783035,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192874,HUITICALAN - SAN JOSE,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-70.782936,-33.507275,17,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAP AVALOS,CAMINO A RINCONADA,NULL,-33.507275,-70.782936,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190430,CAMINO A RINCONADA - CAP AVALOS,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,1,0,1
-70.782204,-33.526062,18,2019,13,REGION METROPOLITANA,MAIPU,URBANA,RAMON BARROS LUCO,GERMAN GARCES,NULL,-33.526062,-70.782204,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131192714,GERMAN GARCES - RAMON BARROS LUCO,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.781601,-33.545109,19,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A MELIPILLA,NULL,17050,-33.545109,-70.781601,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190392,- CAMINO A MELIPILLA,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,1,0,0,1
-70.780396,-33.526047,20,2019,13,REGION METROPOLITANA,MAIPU,URBANA,GERMAN GARCES,PDTE GABRIEL GONZALEZ VIDELA,NULL,-33.526047,-70.780396,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131191229,GERMAN GARCES - PDTE GABRIEL GONZALEZ VIDELA,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-70.779312,-33.521717,21,2019,13,REGION METROPOLITANA,MAIPU,URBANA,SUR,3 PONIENTE,NULL,-33.521717,-70.779312,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131192995,3 PONIENTE - SUR,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,1,2
-70.779228,-33.51823,22,2019,13,REGION METROPOLITANA,MAIPU,URBANA,3 PONIENTE,PORTALES,NULL,-33.51823,-70.779228,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190018,3 PONIENTE - PORTALES,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-70.779213,-33.51545,23,2019,13,REGION METROPOLITANA,MAIPU,URBANA,3 PONIENTE,LAS TINAJAS,NULL,-33.51545,-70.779213,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190018,3 PONIENTE - LAS TINAJAS,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,1
-70.778488,-33.542084,24,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A MELIPILLA,EGIPTO,NULL,-33.542084,-70.778488,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190392,CAMINO A MELIPILLA - EGIPTO,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,1,1,1
-70.778156,-33.506286,25,2019,13,REGION METROPOLITANA,MAIPU,URBANA,3 PONIENTE,MAIPU,NULL,-33.506286,-70.778156,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190018,3 PONIENTE - MAIPU,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,1,1
-70.77803,-33.509007,26,2019,13,REGION METROPOLITANA,MAIPU,URBANA,3 PONIENTE,CAMINO A RINCONADA,NULL,-33.509007,-70.77803,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190018,3 PONIENTE - CAMINO A RINCONADA,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,1,0,3,4
-70.777901,-33.511997,27,2019,13,REGION METROPOLITANA,MAIPU,URBANA,3 PONIENTE,JOSE MANUEL BORGONO,NULL,-33.511997,-70.777901,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190018,3 PONIENTE - JOSE MANUEL BORGONO,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.777039,-33.490875,28,2019,13,REGION METROPOLITANA,MAIPU,URBANA,ING EDUARDO DOMINGUEZ,EL ROSAL,NULL,-33.490875,-70.777039,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131191384,EL ROSAL - ING EDUARDO DOMINGUEZ,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.77684,-33.537872,29,2019,13,REGION METROPOLITANA,MAIPU,URBANA,GLORIAS NAVALES,FERMIN VIVACETA,NULL,-33.537872,-70.77684,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131191240,FERMIN VIVACETA - GLORIAS NAVALES,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.776199,-33.518116,30,2019,13,REGION METROPOLITANA,MAIPU,URBANA,PORTALES,NULL,1341,-33.518116,-70.776199,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192605,- PORTALES,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.776009,-33.489372,31,2019,13,REGION METROPOLITANA,MAIPU,URBANA,ANIQUE,ANTAMO,NULL,-33.489372,-70.776009,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190148,ANIQUE - ANTAMO,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-70.775558,-33.509205,32,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A RINCONADA,EL OLIMPO,NULL,-33.509205,-70.775558,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190394,CAMINO A RINCONADA - EL OLIMPO,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,1,0,1
-70.775497,-33.511936,33,2019,13,REGION METROPOLITANA,MAIPU,URBANA,EL OLIMPO,JOSE MANUEL BORGONO,NULL,-33.511936,-70.775497,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190950,EL OLIMPO - JOSE MANUEL BORGONO,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-70.775436,-33.515301,34,2019,13,REGION METROPOLITANA,MAIPU,URBANA,EL OLIMPO,LAS TINAJAS,NULL,-33.515301,-70.775436,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131190950,EL OLIMPO - LAS TINAJAS,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-70.775116,-33.533215,35,2019,13,REGION METROPOLITANA,MAIPU,URBANA,RENE OLIVARES BECERRA,HERNAN OLGUIN,NULL,-33.533215,-70.775116,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131192755,HERNAN OLGUIN - RENE OLIVARES BECERRA,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.774124,-33.508217,36,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A RINCONADA,NULL,1201,-33.508217,-70.774124,1,13119,1,URBANA,26,OTROS NO CONSIDERADOS,131190394,- CAMINO A RINCONADA,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,3,3
-70.773094,-33.538265,37,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A MELIPILLA,JUDEA,NULL,-33.538265,-70.773094,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190392,CAMINO A MELIPILLA - JUDEA,2,2,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-70.772652,-33.53019,38,2019,13,REGION METROPOLITANA,MAIPU,URBANA,EL OLIMPO,ALFREDO SILVA CARVALLO,NULL,-33.53019,-70.772652,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131190950,ALFREDO SILVA CARVALLO - EL OLIMPO,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,1,0,0,1
-70.771729,-33.540932,39,2019,13,REGION METROPOLITANA,MAIPU,URBANA,JACQUES COSTEAU,TRITON,NULL,-33.540932,-70.771729,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131191450,JACQUES COSTEAU - TRITON,2,0,1,UNIDIRECCIONAL,1,CONCRETO,0,0,0,2,1
