FID,OBJECTID,Match_addr,x,y,ICount,Region,Comuna,Calle_1,Calle_2,Numero,Accid_bici,Falle_bici,Grave_bici,Mgrav_bici,Leve_bici,Ileso_bici
509,534,"LAS INDUSTRIAS & CALLE I, LA GRANJA",349266.9545,6289564.9275,1,REGION METROPOLITANA,LA GRANJA,LAS INDUSTRIAS,CALLE I, ,1,0,0,0,1,0
510,535,"LAS INDUSTRIAS & INGENIERO BUDGE, SAN JOAQUIN",348743.0969,6292390.5317,1,REGION METROPOLITANA,SAN JOAQUIN,LAS INDUSTRIAS,INGENIERO BUDGE, ,1,0,0,0,0,1
511,536,"LAS NIEVES ORIENTE & CONCHA Y TORO, PUENTE ALTO",353512.1233,6281719.4764,1,REGION METROPOLITANA,PUENTE ALTO,LAS NIEVES ORIENTE,CONCHA Y TORO, ,1,0,1,0,0,0
512,537,"LAS PARCELAS & LAS PALOMAS DE SAN JOSE, MAIPU",338453.1443,6294427.8753,1,REGION METROPOLITANA,MAIPU,LAS PARCELAS,LAS PALOMAS DE SAN JOSE, ,1,0,0,0,1,0
513,538,"LAS PARCELAS & LAS TORRES, MAIPU",339113.8366,6294781.2332,1,REGION METROPOLITANA,MAIPU,LAS PARCELAS,LAS TORRES, ,1,0,0,0,1,0
514,539,"LAS PARCELAS & LOS PAJARITOS, MAIPU",338211.1495,6294374.2697,1,REGION METROPOLITANA,MAIPU,LAS PARCELAS,LOS PAJARITOS, ,1,0,0,0,1,0
515,540,"LAS PARCELAS & SANTA CORINA, MAIPU",339499.6333,6295095.026,1,REGION METROPOLITANA,MAIPU,LAS PARCELAS,SANTA CORINA, ,1,0,0,0,1,0
516,541,"LAS REJAS NORTE & CATEDRAL, LO PRADO",341299.212,6298276.5996,1,REGION METROPOLITANA,LO PRADO,LAS REJAS NORTE,CATEDRAL, ,1,0,0,1,0,0
517,542,"LAS REJAS NORTE & LIBERTADOR BERNARDO O`HIGGINS, ESTACION CENTRAL",341489.1537,6296728.8092,1,REGION METROPOLITANA,ESTACION CENTRAL,LAS REJAS NORTE,LIBERTADOR BERNARDO O`HIGGINS, ,1,0,0,0,0,1
518,543,"LAS REJAS SUR & MAILEF, ESTACION CENTRAL",341766.7045,6294647.5035,1,REGION METROPOLITANA,ESTACION CENTRAL,LAS REJAS SUR,MAILEF, ,1,1,0,0,0,0
519,544,"LAS REJAS SUR & QUITRALCO, ESTACION CENTRAL",341591.2858,6295564.0792,2,REGION METROPOLITANA,ESTACION CENTRAL,LAS REJAS SUR,QUITRALCO, ,2,0,2,0,0,0
520,545,"LAS TINAJAS & 4 PONIENTE, MAIPU",333636.2097,6290068.431,1,REGION METROPOLITANA,MAIPU,LAS TINAJAS,4 PONIENTE, ,1,0,0,0,0,1
