X,Y,FID,Año,Claseaccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,COd_Calle_,Calle_Dos,Número,Intersecci,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-70.6376822996982,-33.3653603996625,641,2017,1,13107,HUECHURABA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131070365,RECOLETA,131070175,LAS FRUTILLAS,0,LAS FRUTILLAS - RECOLETA,0,0,0,0,BICICLETA,0,0,0,0,1
-70.6376528181229,-33.4368819054753,642,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010416,MERCED,131010152,CRNEL SANTIAGO BUERAS,0,CRNEL SANTIAGO BUERAS - MERCED,0,0,0,2,BICICLETA,0,0,0,0,1
-70.6375263608527,-33.4891013755279,643,2017,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131290012,ALC PEDRO ALARCON,0, ,556,ALC PEDRO ALARCON  556,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6371070888209,-33.4299836323385,644,2017,1,13127,RECOLETA,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131270267,ERNESTO PINTO LAGARRIGUE,131270219,DOMINICA,0,DOMINICA - ERNESTO PINTO LAGARRIGUE,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6369445849245,-33.4570110306344,645,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010385,MANUEL ANTONIO MATTA,131010609,SIERRA BELLA,0,MANUEL ANTONIO MATTA - SIERRA BELLA,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6368843366427,-33.4445547458047,646,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010494,PORTUGAL,131010159,CURICO,0,CURICO - PORTUGAL,0,0,1,2,BICICLETA,0,0,1,0,3
-70.6368207788557,-33.5535674175022,647,2017,1,13131,SAN RAMON,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131310124,ESPERANZA,131310264,PEDRO AGUIRRE CERDA,0,ESPERANZA - PEDRO AGUIRRE CERDA,0,0,0,2,BICICLETA,0,0,0,0,2
-70.6367585997294,-33.544186199833,648,2017,1,13131,SAN RAMON,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131310263,PEDRO AGUIRRE CERDA,131310058,BARCELO LIRA,0,BARCELO LIRA - PEDRO AGUIRRE CERDA,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6367179998356,-33.4420849997228,649,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,6,TUNEL,131230035,ANDRES BELLO,131230516,VICUNA MACKENNA,0,ANDRES BELLO - VICUNA MACKENNA,0,1,0,1,BICICLETA,0,1,0,0,3
-70.6366305002972,-33.4107699999354,650,2017,1,13127,RECOLETA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131270862,UNION,131270248,EL SALTO,0,EL SALTO - UNION,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6365367846447,-33.4451664107011,651,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010494,PORTUGAL,131010268,GRAL JOFRE,0,GRAL JOFRE - PORTUGAL,0,0,0,0,BICICLETA,0,0,0,0,1
-70.6364536297311,-33.3955668051638,652,2017,1,13127,RECOLETA,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131270578,MARIA DEL PILAR,131270638,ORTIZ DE ROZAS,0,MARIA DEL PILAR - ORTIZ DE ROZAS,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6362923821875,-33.5212086240786,653,2017,1,13111,LA GRANJA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131110612,STA ROSA,131110149,CENTRAL,0,CENTRAL - STA ROSA,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6362552078114,-33.4824564566999,654,2017,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131290011,ALC CARLOS VALDOVINOS,131290631,VENECIA,0,ALC CARLOS VALDOVINOS - VENECIA,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6359600233363,-33.4461159427963,655,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010494,PORTUGAL,131010398,MARIN,0,MARIN - PORTUGAL,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6359257996358,-33.4584714001348,656,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010660,VENTURA LAVALLE,131010254,GORBEA,0,GORBEA - VENTURA LAVALLE,0,1,0,0,BICICLETA,0,1,0,0,1
-70.6358307997514,-33.4329749995963,657,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131230172,EL CERRO,131230429,PIO NONO,0,EL CERRO - PIO NONO,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6353846838559,-33.435688289283,658,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230489,STA MARIA,0, ,26,STA MARIA  26,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6353690734238,-33.4732646803206,659,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010086,BIO BIO,131010106,CARMEN,0,BIO BIO - CARMEN,0,1,0,1,BICICLETA,0,1,0,0,1
-70.6353173920838,-33.4368135345168,660,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230437,PROVIDENCIA,131230516,VICUNA MACKENNA,0,PROVIDENCIA - VICUNA MACKENNA,0,0,0,2,BICICLETA,0,0,0,0,3
