X,Y,FID,Año,ClaseAccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-70.722572,-33.448437,184,2018,1,13117,LO PRADO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131170322,NEPTUNO,131170447,TERRITORIO ANTARTICO,0,0,1,0,0,BICICLETA,0,1,0,0,1
-70.722514,-33.5099838999999,185,2018,1,13119,MAIPU,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACION,131190392,CAMINO A MELIPILLA,131190124,AMERICO VESPUCIO,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.7222663999999,-33.4385882,186,2018,1,13117,LO PRADO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131170322,NEPTUNO,131170002,9 DE JULIO,0,0,1,0,0,BICICLETA,0,1,0,0,1
-70.722069,-33.473427,187,2018,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131060011,5 DE ABRIL,131060702,STA CORINA,0,0,1,0,0,BICICLETA,0,1,0,0,1
-70.721344,-33.3702469999999,188,2018,1,13125,QUILICURA,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131250634,RAMON ROSALES,131250358,LAS TORRES PONIENTE,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.720894,-33.406662,189,2018,1,13128,RENCA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131280326,JOSE MIGUEL INFANTE, , ,5014,0,1,0,0,BICICLETA,0,1,0,0,1
-70.7202944,-33.5118945,190,2018,1,13102,CERRILLOS,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131020394,PASEO DE LAS GUAGUAS,131020397,PEDRO AGUIRRE CERDA,0,0,0,0,0,BICICLETA,0,0,0,0,1
-70.7200849999999,-33.4721599999999,191,2018,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131060448,LUIS INFANTE CERDA,131060011,5 DE ABRIL,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.7200389999999,-33.429607,192,2018,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260257,NEPTUNO,131260338,RIO BAKER,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.719818,-33.443821,193,2018,1,13117,LO PRADO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131170415,SAN PABLO,131170411,SAN GERMAN,0,0,0,0,1,BICICLETA,0,0,0,1,1
