X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Cód__Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Tipo_Cal_1,Fallecid_1,Graves_1,Menos_Gr_1,Leves_1,Tipo,Servicio
-70.6559222100418,-33.4531019879662,19,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010621,STA ISABEL,131010580,SAN IGNACIO DE LOYOLA, ,SAN IGNACIO DE LOYOLA - STA ISABEL,STA ISABEL @ SAN IGNACIO DE LOYOLA,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-70.6556874941824,-33.5062088442626,20,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131300112,GRAN AVDA JOSE MIGUEL CARRERA,131300053,CARMEN MENA, ,CARMEN MENA - GRAN AVDA JOSE MIGUEL CARRERA,GRAN AVDA JOSE MIGUEL CARRERA @ CARMEN MENA,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-70.6556047475609,-33.4447765509969,21,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010342,LIBER BERNARDO O`HIGGINS,131010042,AMUNATEGUI, ,AMUNATEGUI - LIBER BERNARDO O`HIGGINS,LIBER BERNARDO O`HIGGINS @ AMUNATEGUI,CONCRETO,0,0,0,0,BICICLETA,PARTICULAR
-70.6555110768745,-33.4378171230616,22,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010639,TEATINOS,131010115,CATEDRAL, ,CATEDRAL - TEATINOS,TEATINOS @ CATEDRAL,ASFALTO,0,1,0,0,BICICLETA,PARTICULAR
-70.6554338637816,-33.4452788493393,23,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010356,LORD COCHRANE,131010342,LIBER BERNARDO O`HIGGINS, ,LIBER BERNARDO O`HIGGINS - LORD COCHRANE,LORD COCHRANE @ LIBER BERNARDO O`HIGGINS,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-70.6551808754969,-33.5560678214726,24,1,LA PINTANA,2016,1,13112,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131120657,SAN FRANCISCO,131120754,STA MACARENA, ,SAN FRANCISCO - STA MACARENA,SAN FRANCISCO @ STA MACARENA,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.65514875621,-33.4091528741057,25,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131080158,GRAL SAAVEDRA,131080244,NVA 1, ,GRAL SAAVEDRA - NVA 1,GRAL SAAVEDRA @ NVA 1,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6550814905182,-33.5037901670824,26,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131300112,GRAN AVDA JOSE MIGUEL CARRERA,131300078,DEPARTAMENTAL, ,DEPARTAMENTAL - GRAN AVDA JOSE MIGUEL CARRERA,GRAN AVDA JOSE MIGUEL CARRERA @ DEPARTAMENTAL,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
-70.6546241303992,-33.4332025973218,27,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010270,GRAL MACKENNA,131010426,MORANDE, ,GRAL MACKENNA - MORANDE,GRAL MACKENNA @ MORANDE,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
-70.6543096194932,-33.4267234397348,28,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131080174,INDEPENDENCIA,131080042,ANIBAL PINTO, ,ANIBAL PINTO - INDEPENDENCIA,INDEPENDENCIA @ ANIBAL PINTO,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
