FID,ICOUNT,Comuna,Cód_Región,Región,País,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes,Falle_bici,Grave_bici,Mgrav_bici,leve_bici
614,1,LA FLORIDA,13,REGION METROPOLITANA,Chile,VICUNA MACKENNA,DEPARTAMENTAL,0,VICUNA MACKENNA / DEPARTAMENTAL,0,0,0,1,1,0,0,0,1
615,1,MACUL,13,REGION METROPOLITANA,Chile,MACUL,VICTOR DOMINGO SILVA,0,MACUL / VICTOR DOMINGO SILVA,0,0,1,0,1,0,0,1,0
616,1,MACUL,13,REGION METROPOLITANA,Chile,MACUL,LOS CISNES,0,MACUL / LOS CISNES,0,0,0,1,1,0,0,0,1
617,1,MACUL,13,REGION METROPOLITANA,Chile,LOS QUELTEHUES,RAMON TORO IBANEZ,0,LOS QUELTEHUES / RAMON TORO IBANEZ,0,0,0,1,1,0,0,0,0
618,1,MACUL,13,REGION METROPOLITANA,Chile,EL LIBANO, ,5557,EL LIBANO 5557,0,0,0,2,1,0,0,0,2
619,1,MACUL,13,REGION METROPOLITANA,Chile,MACUL,LAS CODORNICES,0,MACUL / LAS CODORNICES,0,0,0,1,1,0,0,0,1
620,1,LA FLORIDA,13,REGION METROPOLITANA,Chile,AMERICO VESPUCIO,DEPARTAMENTAL,0,AMERICO VESPUCIO / DEPARTAMENTAL,0,0,0,1,1,0,0,0,1
621,1,MACUL,13,REGION METROPOLITANA,Chile,AMERICO VESPUCIO, ,5240,AMERICO VESPUCIO 5240,0,0,0,1,1,0,0,0,1
622,1,MACUL,13,REGION METROPOLITANA,Chile,LOS PLATANOS, ,2354,LOS PLATANOS 2354,0,0,0,0,1,0,0,0,0
623,2,MACUL,13,REGION METROPOLITANA,Chile,PEDRO DE VALDIVIA,LOS INDUSTRIALES,0,PEDRO DE VALDIVIA / LOS INDUSTRIALES,0,0,0,2,2,0,0,0,2
624,1,MACUL,13,REGION METROPOLITANA,Chile,EXEQUIEL FERNANDEZ, ,3700,EXEQUIEL FERNANDEZ 3700,0,1,0,0,1,0,1,0,0
625,1,MACUL,13,REGION METROPOLITANA,Chile,MACUL, ,4141,MACUL 4141,0,0,0,1,1,0,0,0,1
626,1,MACUL,13,REGION METROPOLITANA,Chile,MACUL,COIPUE,0,MACUL / COIPUE,0,0,0,0,1,0,0,0,0
627,1,MACUL,13,REGION METROPOLITANA,Chile,VICENTE HUIDOBRO,MACUL,0,VICENTE HUIDOBRO / MACUL,0,0,0,1,1,0,0,0,1
628,1,MACUL,13,REGION METROPOLITANA,Chile,MACUL,LAS MADRESELVAS,0,MACUL / LAS MADRESELVAS,0,0,0,1,1,0,0,0,1
629,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,RODRIGO DE ARAYA,FRANCISCO MENESES,0,RODRIGO DE ARAYA / FRANCISCO MENESES,0,0,0,1,1,0,0,0,1
630,3,MACUL,13,REGION METROPOLITANA,Chile,RODRIGO DE ARAYA,MARATHON,0,RODRIGO DE ARAYA / MARATHON,0,0,0,3,3,0,0,0,3
631,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,CASTILLO URIZAR,ZANARTU,0,CASTILLO URIZAR / ZANARTU,0,0,0,2,1,0,0,0,1
632,1,MACUL,13,REGION METROPOLITANA,Chile,1 ORIENTE,LOS OLMOS,0,1 ORIENTE / LOS OLMOS,0,0,0,0,1,0,0,0,0
633,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,PEDRO DE VALDIVIA,LOS ALERCES,0,PEDRO DE VALDIVIA / LOS ALERCES,0,0,0,1,1,0,0,0,1
634,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,RODRIGO DE ARAYA,PEDRO DE VALDIVIA,0,RODRIGO DE ARAYA / PEDRO DE VALDIVIA,0,0,0,1,1,0,0,0,1
635,1,MACUL,13,REGION METROPOLITANA,Chile,LOS OLMOS, ,2701,LOS OLMOS 2701,0,0,0,1,1,0,0,0,1
636,1,MACUL,13,REGION METROPOLITANA,Chile,EXEQUIEL FERNANDEZ,LOS ESPINOS,0,EXEQUIEL FERNANDEZ / LOS ESPINOS,0,0,0,1,1,0,0,0,1
637,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,EXEQUIEL FERNANDEZ,ZANARTU,0,EXEQUIEL FERNANDEZ / ZANARTU,0,0,0,1,1,0,0,0,1
638,1,MACUL,13,REGION METROPOLITANA,Chile,MACUL, ,2795,MACUL 2795,0,0,0,1,1,0,0,0,1
639,1,MACUL,13,REGION METROPOLITANA,Chile,MACUL, ,2127,MACUL 2127,0,0,0,1,1,0,0,0,1
640,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,RODRIGO DE ARAYA,JOSE PEDRO ALESSANDRI,0,RODRIGO DE ARAYA / JOSE PEDRO ALESSANDRI,0,0,0,2,1,0,0,0,1
641,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,PREMIO NOBEL,LOS ALERCES,0,PREMIO NOBEL / LOS ALERCES,0,0,0,1,1,0,0,0,1
642,1,SANTIAGO,13,REGION METROPOLITANA,Chile,ARTURO PRAT,SANTIAGO,0,ARTURO PRAT / SANTIAGO,0,0,0,1,1,0,0,0,1
643,1,SANTIAGO,13,REGION METROPOLITANA,Chile,SAN FRANCISCO,COQUIMBO,0,SAN FRANCISCO / COQUIMBO,0,0,0,1,1,0,0,0,0
644,1,SANTIAGO,13,REGION METROPOLITANA,Chile,PORVENIR, ,361,PORVENIR 361,0,0,0,0,1,0,0,0,0
645,2,SANTIAGO,13,REGION METROPOLITANA,Chile,SANTA ISABEL,SANTA ROSA,0,SANTA ISABEL / SANTA ROSA,0,0,0,1,2,0,0,0,1
646,1,SANTIAGO,13,REGION METROPOLITANA,Chile,SANTA ROSA,MARINA DE GAETE,0,SANTA ROSA / MARINA DE GAETE,0,0,0,1,1,0,0,0,1
647,1,SANTIAGO,13,REGION METROPOLITANA,Chile,CARMEN,COPIAPO,0,CARMEN / COPIAPO,0,0,0,1,1,0,0,0,0
648,1,SANTIAGO,13,REGION METROPOLITANA,Chile,CARMEN,COQUIMBO,0,CARMEN / COQUIMBO,0,0,0,1,1,0,0,0,0
649,1,SANTIAGO,13,REGION METROPOLITANA,Chile,CARMEN,VICTORIA,0,CARMEN / VICTORIA,0,0,0,1,1,0,0,0,1
650,1,SANTIAGO,13,REGION METROPOLITANA,Chile,CARMEN,MIGUEL LEON PRADO,0,CARMEN / MIGUEL LEON PRADO,0,0,0,0,1,0,0,0,0
651,1,SANTIAGO,13,REGION METROPOLITANA,Chile,MANUEL ANTONIO MATTA, ,369,MANUEL ANTONIO MATTA 369,0,0,0,1,1,0,0,0,1
652,1,SANTIAGO,13,REGION METROPOLITANA,Chile,MANUEL ANTONIO MATTA,LIRA,0,MANUEL ANTONIO MATTA / LIRA,0,0,0,1,1,0,0,0,1
653,1,SANTIAGO,13,REGION METROPOLITANA,Chile,LIRA,VICTORIA,0,LIRA / VICTORIA,0,0,0,0,1,0,0,0,0
654,1,SANTIAGO,13,REGION METROPOLITANA,Chile,MANUEL ANTONIO MATTA,CUEVAS,0,MANUEL ANTONIO MATTA / CUEVAS,0,0,0,1,1,0,0,0,0
655,1,SANTIAGO,13,REGION METROPOLITANA,Chile,SIERRA BELLA,NUBLE,0,SIERRA BELLA / NUBLE,0,0,0,1,1,0,0,0,1
656,1,SANTIAGO,13,REGION METROPOLITANA,Chile,MANUEL ANTONIO MATTA,PORTUGAL,0,MANUEL ANTONIO MATTA / PORTUGAL,0,0,0,1,1,0,0,0,1
657,1,SANTIAGO,13,REGION METROPOLITANA,Chile,LIRA,GENERAL GANA,0,LIRA / GENERAL GANA,0,0,0,0,1,0,0,0,0
658,1,SANTIAGO,13,REGION METROPOLITANA,Chile,SANTA ELENA, ,1402,SANTA ELENA 1402,0,0,0,2,1,0,0,0,1
659,1,SANTIAGO,13,REGION METROPOLITANA,Chile,NUBLE, ,55,NUBLE 55,0,0,0,1,1,0,0,0,1
660,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,VICUNA MACKENNA, ,1770,VICUNA MACKENNA 1770,0,0,0,0,1,0,0,0,0
661,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,CARLOS DITTBORN,VICUNA MACKENNA,0,CARLOS DITTBORN / VICUNA MACKENNA,0,0,0,1,1,0,0,0,1
662,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,VIA 12,LO ENCALADA,0,VIA 12 / LO ENCALADA,0,0,0,1,1,0,0,0,1
663,1,SANTIAGO,13,REGION METROPOLITANA,Chile,MANUEL ANTONIO MATTA,SAN CAMILO,0,MANUEL ANTONIO MATTA / SAN CAMILO,0,0,0,0,1,0,0,0,0
664,1,SANTIAGO,13,REGION METROPOLITANA,Chile,VICUNA MACKENNA, ,733,VICUNA MACKENNA 733,0,0,0,1,1,0,0,0,1
665,3,ÑUÑOA,13,REGION METROPOLITANA,Chile,VICUNA MACKENNA,IRARRAZAVAL,0,VICUNA MACKENNA / IRARRAZAVAL,0,2,0,1,3,0,1,0,1
666,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,VICUNA MACKENNA,MANUEL ANTONIO MATTA,0,VICUNA MACKENNA / MANUEL ANTONIO MATTA,0,0,0,1,1,0,0,0,1
667,1,SANTIAGO,13,REGION METROPOLITANA,Chile,VICUNA MACKENNA, ,1213,VICUNA MACKENNA 1213,0,0,0,1,1,0,0,0,0
668,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,IRARRAZAVAL,GENERAL BUSTAMANTE,0,IRARRAZAVAL / GENERAL BUSTAMANTE,0,0,0,1,1,0,0,0,1
669,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,GENERAL BUSTAMANTE, ,1007,GENERAL BUSTAMANTE 1007,0,0,0,1,1,0,0,0,1
670,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,IRARRAZAVAL,SAN EUGENIO,0,IRARRAZAVAL / SAN EUGENIO,0,0,0,2,1,0,0,0,2
671,2,ÑUÑOA,13,REGION METROPOLITANA,Chile,MATTA ORIENTE,SAN EUGENIO,0,MATTA ORIENTE / SAN EUGENIO,0,1,0,1,2,0,1,0,1
672,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,SAN EUGENIO,CRESCENTE ERRAZURIZ,0,SAN EUGENIO / CRESCENTE ERRAZURIZ,0,0,0,1,1,0,0,0,1
673,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,EMILIO VAISSE,IRARRAZAVAL,0,EMILIO VAISSE / IRARRAZAVAL,1,0,0,0,1,1,0,0,0
674,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,LO ENCALADA,MATTA ORIENTE,0,LO ENCALADA / MATTA ORIENTE,0,0,0,1,1,0,0,0,1
675,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,ITALIA,SUCRE,0,ITALIA / SUCRE,0,0,0,1,1,0,0,0,1
676,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,ITALIA,IRARRAZAVAL,0,ITALIA / IRARRAZAVAL,0,0,0,1,1,0,0,0,1
677,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,MATTA ORIENTE, ,710,MATTA ORIENTE 710,0,0,0,1,1,0,0,0,1
678,2,ÑUÑOA,13,REGION METROPOLITANA,Chile,IRARRAZAVAL,MATTA ORIENTE,0,IRARRAZAVAL / MATTA ORIENTE,0,0,0,2,2,0,0,0,2
679,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,DUBLE ALMEYDA,FERNANDEZ CONCHA,0,DUBLE ALMEYDA / FERNANDEZ CONCHA,0,0,0,1,1,0,0,0,1
680,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,SALVADOR,SALVADOR SUR,0,SALVADOR / SALVADOR SUR,0,0,0,1,1,0,0,0,1
681,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,LINCOYAN,SALVADOR,0,LINCOYAN / SALVADOR,0,1,0,0,1,0,1,0,0
682,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,DUBLE ALMEYDA,SALVADOR,0,DUBLE ALMEYDA / SALVADOR,0,0,0,1,1,0,0,0,1
683,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,IRARRAZAVAL,JULIO PRADO,0,IRARRAZAVAL / JULIO PRADO,0,0,0,1,1,0,0,0,1
684,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,ISABEL RIQUELME,LAS INDUSTRIAS,0,ISABEL RIQUELME / LAS INDUSTRIAS,0,0,0,1,1,0,0,0,1
685,1,SANTIAGO,13,REGION METROPOLITANA,Chile,PARIS,LONDRES,0,PARIS / LONDRES,0,0,0,0,1,0,0,0,0
686,2,SANTIAGO,13,REGION METROPOLITANA,Chile,SAN ANTONIO,LIBERTADOR BERNARDO O`HIGGINS,0,SAN ANTONIO / LIBERTADOR BERNARDO O`HIGGINS,0,1,0,2,2,0,1,0,1
687,1,SANTIAGO,13,REGION METROPOLITANA,Chile,AGUSTINAS,TENDERINI,0,AGUSTINAS / TENDERINI,0,0,0,1,1,0,0,0,1
688,1,SANTIAGO,13,REGION METROPOLITANA,Chile,TARAPACA,SAN FRANCISCO,0,TARAPACA / SAN FRANCISCO,0,0,0,1,1,0,0,0,1
689,2,SANTIAGO,13,REGION METROPOLITANA,Chile,CURICO,SAN ISIDRO,0,CURICO / SAN ISIDRO,0,0,0,2,2,0,0,0,1
690,1,SANTIAGO,13,REGION METROPOLITANA,Chile,SANTA ISABEL, ,551,SANTA ISABEL 551,0,0,0,0,1,0,0,0,0
691,1,SANTIAGO,13,REGION METROPOLITANA,Chile,CARMEN, ,418,CARMEN 418,0,0,0,1,1,0,0,0,1
692,1,SANTIAGO,13,REGION METROPOLITANA,Chile,SANTA ISABEL,CARMEN,0,SANTA ISABEL / CARMEN,0,0,0,1,1,0,0,0,0
693,1,SANTIAGO,13,REGION METROPOLITANA,Chile,SANTA ISABEL,MANUEL ANTONIO TOCORNAL,0,SANTA ISABEL / MANUEL ANTONIO TOCORNAL,0,0,0,1,1,0,0,0,1
694,1,SANTIAGO,13,REGION METROPOLITANA,Chile,PORTUGAL,CARABINEROS DE CHILE,0,PORTUGAL / CARABINEROS DE CHILE,0,0,0,1,1,0,0,0,0
695,1,SANTIAGO,13,REGION METROPOLITANA,Chile,CURICO, ,300,CURICO 300,0,0,0,1,1,0,0,0,0
696,1,SANTIAGO,13,REGION METROPOLITANA,Chile,PORTUGAL,MARCOLETA,0,PORTUGAL / MARCOLETA,0,0,0,0,1,0,0,0,0
697,2,SANTIAGO,13,REGION METROPOLITANA,Chile,PORTUGAL,DIAGONAL PARAGUAY,0,PORTUGAL / DIAGONAL PARAGUAY,0,0,0,3,2,0,0,0,2
698,1,SANTIAGO,13,REGION METROPOLITANA,Chile,SANTA ISABEL,RAULI,0,SANTA ISABEL / RAULI,0,0,0,1,1,0,0,0,1
699,1,SANTIAGO,13,REGION METROPOLITANA,Chile,PORTUGAL,GENERAL JOFRE,0,PORTUGAL / GENERAL JOFRE,0,0,0,1,1,0,0,0,0
700,6,SANTIAGO,13,REGION METROPOLITANA,Chile,SANTA ISABEL,PORTUGAL,0,SANTA ISABEL / PORTUGAL,1,0,0,4,6,1,0,0,4
701,1,RECOLETA,13,REGION METROPOLITANA,Chile,RECOLETA,ANTONIA LOPEZ DE BELLO,0,RECOLETA / ANTONIA LOPEZ DE BELLO,0,0,0,1,1,0,0,0,1
702,1,SANTIAGO,13,REGION METROPOLITANA,Chile,SANTO DOMINGO,ENRIQUE MAC IVER,0,SANTO DOMINGO / ENRIQUE MAC IVER,0,0,0,0,1,0,0,0,0
703,1,SANTIAGO,13,REGION METROPOLITANA,Chile,MONJITAS,MIRAFLORES,0,MONJITAS / MIRAFLORES,0,0,0,1,1,0,0,0,1
704,1,SANTIAGO,13,REGION METROPOLITANA,Chile,CARDENAL JOSE MARIA CARO,PATRONATO,0,CARDENAL JOSE MARIA CARO / PATRONATO,0,2,0,0,1,0,2,0,0
705,1,SANTIAGO,13,REGION METROPOLITANA,Chile,VICTORIA SUBERCASEAUX,MERCED,0,VICTORIA SUBERCASEAUX / MERCED,0,0,1,0,1,0,0,1,0
706,1,SANTIAGO,13,REGION METROPOLITANA,Chile,JOSE MIGUEL DE LA BARRA,ISMAEL VALDES VERGARA,0,JOSE MIGUEL DE LA BARRA / ISMAEL VALDES VERGARA,0,0,0,1,1,0,0,0,1
707,1,SANTIAGO,13,REGION METROPOLITANA,Chile,MERCED, ,337,MERCED 337,0,1,0,1,1,0,1,0,0
708,2,SANTIAGO,13,REGION METROPOLITANA,Chile,PORTUGAL,LIBERTADOR BERNARDO O`HIGGINS,0,PORTUGAL / LIBERTADOR BERNARDO O`HIGGINS,0,1,0,1,2,0,0,0,1
709,1,SANTIAGO,13,REGION METROPOLITANA,Chile,MERCED,PURISIMA,0,MERCED / PURISIMA,0,0,0,1,1,0,0,0,1
710,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,PIO NONO, ,445,PIO NONO 445,0,0,0,0,1,0,0,0,0
711,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,PIO NONO, ,450,PIO NONO 450,0,0,1,0,1,0,0,1,0
712,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,ANDRES BELLO,PIO NONO,0,ANDRES BELLO / PIO NONO,0,0,0,1,1,0,0,0,1
713,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,VICUNA MACKENNA,PROVIDENCIA,0,VICUNA MACKENNA / PROVIDENCIA,0,0,0,1,1,0,0,0,1
714,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,VICUNA MACKENNA,ALMIRANTE SIMPSON,0,VICUNA MACKENNA / ALMIRANTE SIMPSON,0,0,0,1,1,0,0,0,1
715,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,VICUNA MACKENNA,EULOGIA SANCHEZ,0,VICUNA MACKENNA / EULOGIA SANCHEZ,0,1,0,0,1,0,1,0,0
716,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,ANDRES BELLO, ,100,ANDRES BELLO 100,0,0,0,1,1,0,0,0,1
717,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,VICUNA MACKENNA,TOMAS ANDREWS,0,VICUNA MACKENNA / TOMAS ANDREWS,0,0,0,0,1,0,0,0,0
718,1,SANTIAGO,13,REGION METROPOLITANA,Chile,SANTA VICTORIA, ,86,SANTA VICTORIA 86,0,0,0,1,1,0,0,0,0
719,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,PROVIDENCIA,GENERAL BUSTAMANTE,0,PROVIDENCIA / GENERAL BUSTAMANTE,0,0,0,1,1,0,0,0,1
720,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,GENERAL BUSTAMANTE,RANCAGUA,0,GENERAL BUSTAMANTE / RANCAGUA,0,0,1,0,1,0,0,1,0
721,2,PROVIDENCIA,13,REGION METROPOLITANA,Chile,SANTA ISABEL,GENERAL BUSTAMANTE,0,SANTA ISABEL / GENERAL BUSTAMANTE,0,0,0,2,2,0,0,0,2
722,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,BELLAVISTA,PUNTA ARENAS,0,BELLAVISTA / PUNTA ARENAS,0,0,0,1,1,0,0,0,1
723,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,SANTA MARIA,CAPELLAN ABARZUA,0,SANTA MARIA / CAPELLAN ABARZUA,0,0,1,0,1,0,0,1,0
724,3,PROVIDENCIA,13,REGION METROPOLITANA,Chile,PROVIDENCIA,ELIODORO YANEZ,0,PROVIDENCIA / ELIODORO YANEZ,0,2,1,0,3,0,2,1,0
725,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,SALVADOR,RANCAGUA,0,SALVADOR / RANCAGUA,0,0,0,2,1,0,0,0,1
726,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,JOSE MANUEL INFANTE,FRANCISCO BILBAO,0,JOSE MANUEL INFANTE / FRANCISCO BILBAO,0,0,0,1,1,0,0,0,0
727,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,JOSE MIGUEL CLARO, ,300,JOSE MIGUEL CLARO 300,0,0,1,1,1,0,0,0,1
728,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,SANTA ISABEL,JOSE MANUEL INFANTE,0,SANTA ISABEL / JOSE MANUEL INFANTE,0,0,0,2,1,0,0,0,1
729,1,PROVIDENCIA,13,REGION METROPOLITANA,Chile,GENERAL CORDOVA,JOSE MIGUEL CLARO,0,GENERAL CORDOVA / JOSE MIGUEL CLARO,0,1,0,1,1,0,1,0,0
730,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,CARLOS DITTBORN,MARATHON,0,CARLOS DITTBORN / MARATHON,0,0,0,1,1,0,0,0,1
731,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,GRECIA,MARATHON,0,GRECIA / MARATHON,0,0,0,1,1,0,0,0,1
732,2,ÑUÑOA,13,REGION METROPOLITANA,Chile,GUILLERMO MANN,MARATHON,0,GUILLERMO MANN / MARATHON,0,2,0,1,2,0,1,0,1
733,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,PEDRO DE VALDIVIA, ,4862,PEDRO DE VALDIVIA 4862,0,0,0,1,1,0,0,0,1
734,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,GRECIA,LOS 3 ANTONIOS,0,GRECIA / LOS 3 ANTONIOS,0,0,0,1,1,0,0,0,1
735,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,IRARRAZAVAL,LUIS BELTRAN,0,IRARRAZAVAL / LUIS BELTRAN,0,0,0,1,1,0,0,0,1
736,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,IRARRAZAVAL,JOSE MANUEL INFANTE,0,IRARRAZAVAL / JOSE MANUEL INFANTE,0,0,0,1,1,0,0,0,1
737,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,SUCRE,JOSE MIGUEL CLARO,0,SUCRE / JOSE MIGUEL CLARO,0,0,0,1,1,0,0,0,1
738,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,CRESCENTE ERRAZURIZ,BERNARDO DE AMASSA,0,CRESCENTE ERRAZURIZ / BERNARDO DE AMASSA,0,0,0,1,1,0,0,0,1
739,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,DUBLE ALMEYDA, ,1627,DUBLE ALMEYDA 1627,0,0,0,0,1,0,0,0,0
740,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,DUBLE ALMEYDA,MONSENOR EYZAGUIRRE,0,DUBLE ALMEYDA / MONSENOR EYZAGUIRRE,0,0,0,1,1,0,0,0,1
741,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,IRARRAZAVAL, ,1700,IRARRAZAVAL 1700,0,0,0,1,1,0,0,0,1
742,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,DUBLE ALMEYDA,QUIRIHUE,0,DUBLE ALMEYDA / QUIRIHUE,0,0,0,0,1,0,0,0,0
743,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,JOSE DOMINGO CANAS,CARMEN COVARRUBIAS,0,JOSE DOMINGO CANAS / CARMEN COVARRUBIAS,0,0,0,0,1,0,0,0,0
744,5,ÑUÑOA,13,REGION METROPOLITANA,Chile,DUBLE ALMEYDA,CARMEN COVARRUBIAS,0,DUBLE ALMEYDA / CARMEN COVARRUBIAS,0,1,0,3,5,0,1,0,3
745,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,JOSE DOMINGO CANAS, ,2001,JOSE DOMINGO CANAS 2001,0,0,0,1,1,0,0,0,1
746,4,ÑUÑOA,13,REGION METROPOLITANA,Chile,TENIENTE MONTT,ANTONIO VARAS,0,TENIENTE MONTT / ANTONIO VARAS,0,0,0,4,4,0,0,0,4
747,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,ALCALDE EDUARDO CASTILLO VELASCO,CAMPOS DE DEPORTES,0,ALCALDE EDUARDO CASTILLO VELASCO / CAMPOS DE DEPORTES,0,1,0,0,1,0,1,0,0
748,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,DUBLE ALMEYDA,CAMPOS DE DEPORTES,0,DUBLE ALMEYDA / CAMPOS DE DEPORTES,0,0,0,1,1,0,0,0,1
749,3,ÑUÑOA,13,REGION METROPOLITANA,Chile,MARCHANT PEREIRA,SIMON BOLIVAR,0,MARCHANT PEREIRA / SIMON BOLIVAR,0,0,0,3,3,0,0,0,3
750,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,JOSE DOMINGO CANAS,PEDRO DE VALDIVIA,0,JOSE DOMINGO CANAS / PEDRO DE VALDIVIA,0,1,0,0,1,0,0,0,0
751,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,PEDRO DE VALDIVIA,LUIS URIBE,0,PEDRO DE VALDIVIA / LUIS URIBE,0,0,0,1,1,0,0,0,1
752,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,PEDRO DE VALDIVIA,ALVARO PUGA,0,PEDRO DE VALDIVIA / ALVARO PUGA,0,0,0,2,1,0,0,0,1
753,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,IRARRAZAVAL,PEDRO DE VALDIVIA,0,IRARRAZAVAL / PEDRO DE VALDIVIA,0,1,0,0,1,0,1,0,0
754,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,PEDRO DE VALDIVIA,CAPITAN ORELLA,0,PEDRO DE VALDIVIA / CAPITAN ORELLA,0,0,0,1,1,0,0,0,1
755,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,IRARRAZAVAL, ,2675,IRARRAZAVAL 2675,0,0,0,2,1,0,0,0,1
756,2,ÑUÑOA,13,REGION METROPOLITANA,Chile,GRECIA,CORFU,0,GRECIA / CORFU,0,1,0,1,2,0,1,0,1
757,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,EXEQUIEL FERNANDEZ,GRECIA,0,EXEQUIEL FERNANDEZ / GRECIA,0,0,1,0,1,0,0,1,0
758,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,JOSE PEDRO ALESSANDRI,LAS ENCINAS,0,JOSE PEDRO ALESSANDRI / LAS ENCINAS,0,0,0,1,1,0,0,0,1
759,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,JOSE PEDRO ALESSANDRI,GRECIA,0,JOSE PEDRO ALESSANDRI / GRECIA,0,0,0,2,1,0,0,0,1
760,3,ÑUÑOA,13,REGION METROPOLITANA,Chile,CAPITAN IGNACIO CARRERA PINTO,GRECIA,0,CAPITAN IGNACIO CARRERA PINTO / GRECIA,0,0,0,3,3,0,0,0,3
761,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,DOCTOR JOHOW, ,987,DOCTOR JOHOW 987,0,0,0,2,1,0,0,0,1
762,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,DOCTOR JOHOW,PROFESOR JUAN GOMEZ MILLAS,0,DOCTOR JOHOW / PROFESOR JUAN GOMEZ MILLAS,0,0,0,0,1,0,0,0,0
763,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,IRARRAZAVAL,RICARDO LYON,0,IRARRAZAVAL / RICARDO LYON,0,1,0,0,1,0,1,0,0
764,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,EXEQUIEL FERNANDEZ,ALCALDE EDUARDO CASTILLO VELASCO,0,EXEQUIEL FERNANDEZ / ALCALDE EDUARDO CASTILLO VELASCO,0,0,0,1,1,0,0,0,1
765,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,JOSE DOMINGO CANAS,EXEQUIEL FERNANDEZ,0,JOSE DOMINGO CANAS / EXEQUIEL FERNANDEZ,0,0,0,1,1,0,0,0,1
