FID,ICOUNT,Comuna,Cód_Región,Región,País,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes,Falle_bici,Grave_bici,Mgrav_bici,leve_bici
510,1,RENCA,13,REGION METROPOLITANA,Chile,JOSE MANUEL BALMACEDA, ,4672,JOSE MANUEL BALMACEDA 4672,0,0,0,0,1,0,0,0,0
511,1,RENCA,13,REGION METROPOLITANA,Chile,JOSE MIGUEL INFANTE,GENERAL VELASQUEZ,0,JOSE MIGUEL INFANTE / GENERAL VELASQUEZ,0,0,0,0,1,0,0,0,0
512,1,QUINTA NORMAL,13,REGION METROPOLITANA,Chile,SAMUEL IZQUIERDO,ALSINO,0,SAMUEL IZQUIERDO / ALSINO,0,0,0,1,1,0,0,0,1
513,2,QUILICURA,13,REGION METROPOLITANA,Chile,SAN LUIS,PUERTO PORVENIR,0,SAN LUIS / PUERTO PORVENIR,0,1,0,1,2,0,1,0,1
514,1,QUILICURA,13,REGION METROPOLITANA,Chile,LO MARCOLETA,SAN LUIS,0,LO MARCOLETA / SAN LUIS,0,0,0,1,1,0,0,0,1
515,1,QUILICURA,13,REGION METROPOLITANA,Chile,LAS VIOLETAS,CALLE A,0,LAS VIOLETAS / CALLE A,0,0,0,1,1,0,0,0,1
516,2,QUILICURA,13,REGION METROPOLITANA,Chile,LO MARCOLETA,SANTA LAURA,0,LO MARCOLETA / SANTA LAURA,0,0,0,2,2,0,0,0,2
517,1,QUILICURA,13,REGION METROPOLITANA,Chile,MANUEL ANTONIO MATTA,SAN ENRIQUE,0,MANUEL ANTONIO MATTA / SAN ENRIQUE,0,0,0,0,1,0,0,0,0
518,1,QUILICURA,13,REGION METROPOLITANA,Chile,LO MARCOLETA,PARQUE CENTRAL ORIENTE,0,LO MARCOLETA / PARQUE CENTRAL ORIENTE,0,0,0,2,1,0,0,0,1
519,1,QUILICURA,13,REGION METROPOLITANA,Chile,JOSE FRANCISCO VERGARA,GENERAL SAN MARTIN,0,JOSE FRANCISCO VERGARA / GENERAL SAN MARTIN,0,0,0,1,1,0,0,0,1
520,1,QUILICURA,13,REGION METROPOLITANA,Chile,LO MARCOLETA,SANTA LUISA,0,LO MARCOLETA / SANTA LUISA,0,0,0,1,1,0,0,0,1
521,1,QUILICURA,13,REGION METROPOLITANA,Chile,LOS CARRERA,JOSE FRANCISCO VERGARA,0,LOS CARRERA / JOSE FRANCISCO VERGARA,0,0,0,1,1,0,0,0,1
522,1,QUILICURA,13,REGION METROPOLITANA,Chile,JOSE FRANCISCO VERGARA,RAIMUNDO ROMO,0,JOSE FRANCISCO VERGARA / RAIMUNDO ROMO,0,0,0,1,1,0,0,0,1
523,1,QUILICURA,13,REGION METROPOLITANA,Chile,JOSE FRANCISCO VERGARA, ,300,JOSE FRANCISCO VERGARA 300,0,0,0,1,1,0,0,0,1
524,1,QUILICURA,13,REGION METROPOLITANA,Chile,LAS TORRES,DEL TRIGAL,0,LAS TORRES / DEL TRIGAL,0,0,0,1,1,0,0,0,1
525,1,QUILICURA,13,REGION METROPOLITANA,Chile,DEL TRIGAL,LO MARCOLETA,0,DEL TRIGAL / LO MARCOLETA,0,1,0,0,1,0,1,0,0
526,1,QUILICURA,13,REGION METROPOLITANA,Chile,MANUEL ANTONIO MATTA,LIBERTADOR BERNARDO O`HIGGINS,0,MANUEL ANTONIO MATTA / LIBERTADOR BERNARDO O`HIGGINS,0,0,0,1,1,0,0,0,1
527,1,QUILICURA,13,REGION METROPOLITANA,Chile,DONA LETICIA,LIBERTADOR BERNARDO O`HIGGINS,0,DONA LETICIA / LIBERTADOR BERNARDO O`HIGGINS,0,0,0,1,1,0,0,0,1
528,1,QUILICURA,13,REGION METROPOLITANA,Chile,AMERICO VESPUCIO, ,9802,AMERICO VESPUCIO 9802,0,0,0,1,1,0,0,0,1
529,1,QUILICURA,13,REGION METROPOLITANA,Chile,MANUEL ANTONIO MATTA,ARTURO PRAT,0,MANUEL ANTONIO MATTA / ARTURO PRAT,0,0,0,1,1,0,0,0,1
530,1,QUILICURA,13,REGION METROPOLITANA,Chile,NUEVA YORK,MANUEL ANTONIO MATTA,0,NUEVA YORK / MANUEL ANTONIO MATTA,0,0,0,1,1,0,0,0,1
531,1,QUILICURA,13,REGION METROPOLITANA,Chile,MANUEL ANTONIO MATTA,HUMBERTO CARO,0,MANUEL ANTONIO MATTA / HUMBERTO CARO,0,0,0,2,1,0,0,0,1
532,1,QUILICURA,13,REGION METROPOLITANA,Chile,LOS EUROPEOS,LOS OCEANICOS,0,LOS EUROPEOS / LOS OCEANICOS,0,0,0,1,1,0,0,0,1
533,1,QUILICURA,13,REGION METROPOLITANA,Chile,MANUEL ANTONIO MATTA,CALLE A,0,MANUEL ANTONIO MATTA / CALLE A,1,0,0,0,1,1,0,0,0
