FID,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
76,"250 RIGOBERTO JARA, QUILICURA",0,0,0,2,1
77,"PARQUE CENTRAL ORIENTE & LO MARCOLETA, QUILICURA",0,0,0,1,1
78,"MAPOCHO SUR & ISLAS AZORES, CERRO NAVIA",0,0,0,1,1
79,"5 DE ABRIL & GASPAR, MAIPU",0,0,0,1,1
80,"NICANOR MOLINARE & TOMAS ALBA EDISON, PUDAHUEL",0,0,1,0,1
81,"8441 SAN FRANCISCO, PUDAHUEL",0,0,0,1,1
82,"7360 MAPOCHO SUR, CERRO NAVIA",0,0,0,1,1
83,"SAN LUIS & LUCILA GODOY, QUILICURA",0,0,0,1,1
84,"SEGUNDA TRANSVERSAL & PRIMO DE RIVERA, MAIPU",0,0,0,1,1
85,"SALVADOR GUTIERREZ & HUELEN, CERRO NAVIA",0,1,0,0,1
86,"HUELEN & KARONGA, CERRO NAVIA",0,0,0,1,1
87,"TENIENTE CRUZ & SAN FRANCISCO, PUDAHUEL",0,0,0,2,2
88,"RENE SCHNEIDER & ESQUINA BLANCA, MAIPU",0,0,0,1,1
89,"HUELEN & MAPOCHO NORTE, CERRO NAVIA",0,0,0,1,1
90,"TENIENTE CRUZ & QUEBEC, PUDAHUEL",0,0,0,1,1
91,"SAN PABLO & TENIENTE CRUZ, PUDAHUEL",0,0,0,2,2
92,"GENERAL SAN MARTIN & INTENDENTE SAAVEDRA, QUILICURA",0,0,0,1,1
93,"GUMERCINDO VARGAS & TOMAS ALBA EDISON, CERRO NAVIA",0,0,0,1,1
94,"AMERICO VESPUCIO & GENERAL SAN MARTIN, QUILICURA",1,0,0,0,1
95,"720 TENIENTE CRUZ, PUDAHUEL",0,0,0,1,1
96,"720 TENIENTE CRUZ, PUDAHUEL",0,0,0,1,1
97,"CAMINO A MELIPILLA & LO ESPEJO, MAIPU",0,1,0,0,1
98,"ESQUINA BLANCA & DEL FERROCARRIL, MAIPU",0,0,0,1,1
99,"TENIENTE CRUZ & GENERAL OSCAR BONILLA, PUDAHUEL",0,0,1,2,3
100,"BRASIL & BARROS ARANA, RENCA",0,0,0,1,1
101,"MANUEL ANTONIO MATTA & GENERAL SAN MARTIN, QUILICURA",0,1,0,0,1
102,"CLAUDIO ARRAU & TENIENTE CRUZ, PUDAHUEL",0,0,0,1,1
103,"TENIENTE CRUZ & LA TRAVESIA, PUDAHUEL",0,1,0,0,1
104,"545 TENIENTE CRUZ, PUDAHUEL",0,0,0,0,1
105,"TENIENTE CRUZ & LAGUNA SUR, PUDAHUEL",0,0,0,1,1
106,"ISABEL RIQUELME & SANTA ROSA, MAIPU",0,0,0,0,1
107,"COSTANERA SUR & PARAISO, CERRO NAVIA",0,0,0,1,1
108,"TENIENTE CRUZ & AILINCO, PUDAHUEL",0,1,0,0,1
109,"GABRIELA MISTRAL & RICARDO VIAL, LO PRADO",0,0,0,0,1
110,"LO OVALLE & ROMERAL, QUILICURA",0,0,0,1,1
