,lat,lng,Year,Borough,Region,Zone,Severity
84,-70.7575735998416,-33.5100811999872,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
85,-70.757566999717,-33.4966450003662,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
86,-70.7573822322041,-33.4961747088955,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
87,-70.7573385710181,-33.5162070247342,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
88,-70.7573277989386,-33.5090198659739,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
89,-70.7572591716733,-33.52207883507,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
90,-70.7572553270715,-33.5240177491196,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
91,-70.7570782001986,-33.5089014000794,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
92,-70.7560155432826,-33.431470804334,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SERIOUS
93,-70.7558804084539,-33.4790954195178,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
94,-70.7557005836148,-33.4438797731328,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
95,-70.7555882996601,-33.5104896999395,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
96,-70.7549454606642,-33.3745060165392,2017,QUILICURA,REGION METROPOLITANA,URBANA,SERIOUS
97,-70.7547783432458,-33.4316563380693,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
98,-70.7546038657756,-33.4513436838637,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
99,-70.7545792612237,-33.4316861865681,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
100,-70.7541100930062,-33.4222333226096,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
101,-70.7539579663869,-33.3618376185111,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
102,-70.7532168009145,-33.4166482089475,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,FATAL
103,-70.7526800000818,-33.3634742002739,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
104,-70.7522360398612,-33.4606228986277,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
105,-70.7519846011082,-33.5002399035485,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
106,-70.7516177793368,-33.4354630252982,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SERIOUS
107,-70.751438446427,-33.4859606650525,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
108,-70.7513928633897,-33.4252909456205,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
109,-70.7512607997459,-33.4963015996389,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
110,-70.7511428914311,-33.4950574343529,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
111,-70.7508810996828,-33.3789562001683,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
112,-70.7504220434423,-33.4736722746555,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
113,-70.7502466001004,-33.4865775001513,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
114,-70.7500353997137,-33.5102131997791,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
115,-70.7500034998615,-33.510098100047,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
116,-70.7499992361757,-33.4169185298661,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SERIOUS
117,-70.7499987424478,-33.4522328651544,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
118,-70.749674765278,-33.4293141545244,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,FATAL
119,-70.7491893004457,-33.4446988001094,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SERIOUS
120,-70.7491162152409,-33.460712243575,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
121,-70.7489910997592,-33.3559846004088,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
122,-70.748859713305,-33.4746980018112,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
123,-70.7484203917874,-33.4823895093682,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
124,-70.7474660995807,-33.5164916997319,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
125,-70.7474594751745,-33.3669659026541,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
126,-70.7473220866448,-33.4273452390914,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
127,-70.7472350286735,-33.4476600023071,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SERIOUS
128,-70.7471395998126,-33.4861892996963,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
129,-70.7470891001817,-33.3829944996962,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
130,-70.7469710983374,-33.508868790662,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
131,-70.7467466464404,-33.3697265254586,2017,QUILICURA,REGION METROPOLITANA,URBANA,SERIOUS
132,-70.7464718882669,-33.4833378210834,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
133,-70.7464247853754,-33.5109957223745,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
134,-70.7463467934696,-33.461207908518,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
135,-70.7461361003005,-33.4809929000021,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
136,-70.7460665997935,-33.3548329996431,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
137,-70.7459528355548,-33.4111783829758,2017,RENCA,REGION METROPOLITANA,URBANA,SLIGHT
138,-70.7456253995923,-33.4584401001303,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
139,-70.7455107998832,-33.3745308000562,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
140,-70.7453509453896,-33.4222839031794,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SERIOUS
141,-70.7453296836179,-33.40284958524,2017,RENCA,REGION METROPOLITANA,URBANA,SLIGHT
142,-70.7452053415531,-33.4352964753519,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SERIOUS
143,-70.7448722002915,-33.3658514996469,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
144,-70.7448153046824,-33.4043647828083,2017,RENCA,REGION METROPOLITANA,URBANA,SLIGHT
145,-70.7443018700351,-33.4482330772945,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
146,-70.7440794002439,-33.480825699846,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
147,-70.7440701003546,-33.4980466998951,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
148,-70.7440659706677,-33.4799572488278,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
149,-70.7439936004242,-33.4131412001061,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
150,-70.7437192010801,-33.4949908179717,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
151,-70.7435047343558,-33.441855139303,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
152,-70.7432586762467,-33.4073623203147,2017,RENCA,REGION METROPOLITANA,URBANA,SLIGHT
153,-70.7430291998376,-33.5110006002973,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
154,-70.7428147052343,-33.4299952497808,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SERIOUS
155,-70.7427305997371,-33.4297877995671,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SERIOUS
156,-70.742311468899,-33.5101428395202,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
157,-70.7422781400239,-33.4149765743093,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SERIOUS
158,-70.7415549996634,-33.4557777003804,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
159,-70.7414223208833,-33.3661427154138,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
160,-70.7413700001252,-33.4304500000673,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
161,-70.7411095690512,-33.5101146520693,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
162,-70.7409034003715,-33.4231420003029,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
163,-70.7408985386365,-33.4363924296667,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
164,-70.7407961463249,-33.4299034829592,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
165,-70.7406425699984,-33.4403395793079,2017,LO PRADO,REGION METROPOLITANA,URBANA,SERIOUS
166,-70.7406141001604,-33.4416071998122,2017,LO PRADO,REGION METROPOLITANA,URBANA,SLIGHT
167,-70.7405885000589,-33.4299558999447,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SERIOUS
168,-70.7405809664383,-33.4446548160667,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
169,-70.7405165003361,-33.4400675002148,2017,LO PRADO,REGION METROPOLITANA,URBANA,SERIOUS
170,-70.7404664737485,-33.4753605323625,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
171,-70.740154114021,-33.5183615098756,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
172,-70.740062033336,-33.3663737494488,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
173,-70.7400430000843,-33.4753939997332,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
174,-70.7399133996834,-33.5096973000901,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
175,-70.7397869999699,-33.5183526002921,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
176,-70.7396672363536,-33.4113769290018,2017,RENCA,REGION METROPOLITANA,URBANA,SLIGHT
177,-70.739616000178,-33.3506618001018,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
178,-70.7394549001234,-33.4486270999605,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
179,-70.7393080003638,-33.5023092004091,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
180,-70.7390041572159,-33.359873087273,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
181,-70.738914592834,-33.3626963226769,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
182,-70.7388446165857,-33.4956277825959,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
183,-70.7388273999644,-33.352172199787,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
184,-70.738562030713,-33.456623301424,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
185,-70.738449525525,-33.3709395643093,2017,QUILICURA,REGION METROPOLITANA,URBANA,SERIOUS
186,-70.7382223999437,-33.3544598997045,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
187,-70.7381975004142,-33.3558098999068,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
188,-70.7380659997459,-33.4625629997825,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
189,-70.7379282973528,-33.4001629316737,2017,RENCA,REGION METROPOLITANA,URBANA,SLIGHT
190,-70.7378325744136,-33.366263068086,2017,QUILICURA,REGION METROPOLITANA,URBANA,SERIOUS
191,-70.7377281334465,-33.4391900694659,2017,LO PRADO,REGION METROPOLITANA,URBANA,SLIGHT
192,-70.7376864004068,-33.4365396001222,2017,LO PRADO,REGION METROPOLITANA,URBANA,SLIGHT
193,-70.7376010781271,-33.4726895018188,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
194,-70.7372294368888,-33.4446259577215,2017,LO PRADO,REGION METROPOLITANA,URBANA,SLIGHT
195,-70.7370042709301,-33.4712672896535,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
196,-70.7369527002068,-33.4700912003484,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
197,-70.7369527002068,-33.363060200068,2017,QUILICURA,REGION METROPOLITANA,URBANA,SERIOUS
198,-70.7365946998854,-33.4295007998218,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
199,-70.736445600384,-33.3719130003844,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
200,-70.7363183067442,-33.406481818381,2017,RENCA,REGION METROPOLITANA,URBANA,SLIGHT
201,-70.7361662286883,-33.3617349312219,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
202,-70.7351670000568,-33.5082278995977,2017,CERRILLOS,REGION METROPOLITANA,URBANA,SLIGHT
203,-70.7349489000715,-33.5155499998324,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
204,-70.7348253997721,-33.4295171000339,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SERIOUS
205,-70.734805477091,-33.4995697800211,2017,CERRILLOS,REGION METROPOLITANA,URBANA,SLIGHT
206,-70.7339158803135,-33.3578214333123,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
207,-70.733754700219,-33.4553705997731,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
208,-70.7336965743373,-33.3594934915312,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
209,-70.7336264497008,-33.4972407985238,2017,CERRILLOS,REGION METROPOLITANA,URBANA,SLIGHT
210,-70.7334907671849,-33.4697571975364,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
211,-70.7334055995886,-33.4191354999032,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SERIOUS
212,-70.7332034292947,-33.3644342742222,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
213,-70.7324749667462,-33.4234666276825,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
214,-70.732188039846,-33.357810357262,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
215,-70.7320720003224,-33.3549769001637,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
216,-70.7318760020757,-33.3630965155916,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
217,-70.7316775999411,-33.4446761003216,2017,LO PRADO,REGION METROPOLITANA,URBANA,SLIGHT
218,-70.7314717397288,-33.4733949561122,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
219,-70.7309983491943,-33.4470623290631,2017,LO PRADO,REGION METROPOLITANA,URBANA,SERIOUS
220,-70.7306382165802,-33.4290223263191,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SERIOUS
221,-70.730110517786,-33.3657029163563,2017,QUILICURA,REGION METROPOLITANA,URBANA,SERIOUS
222,-70.7297742567763,-33.5064047498792,2017,CERRILLOS,REGION METROPOLITANA,URBANA,SLIGHT
223,-70.7297623056857,-33.3630438737756,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
224,-70.7296730003085,-33.3752375997353,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
225,-70.7294484998482,-33.3570537998928,2017,QUILICURA,REGION METROPOLITANA,URBANA,FATAL
226,-70.7294280978283,-33.4916916883206,2017,CERRILLOS,REGION METROPOLITANA,URBANA,SLIGHT
227,-70.7294054996638,-33.4392916002269,2017,LO PRADO,REGION METROPOLITANA,URBANA,SLIGHT
228,-70.729329099558,-33.4047316000831,2017,RENCA,REGION METROPOLITANA,URBANA,SERIOUS
229,-70.7288435996522,-33.3657230000163,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
230,-70.7276823842345,-33.4881994742261,2017,CERRILLOS,REGION METROPOLITANA,URBANA,SLIGHT
231,-70.7275357048088,-33.3576009078554,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
232,-70.7266686000757,-33.3355853000214,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
233,-70.7266385303437,-33.4458219589161,2017,LO PRADO,REGION METROPOLITANA,URBANA,SLIGHT
234,-70.7265172999332,-33.5054757996683,2017,HUECHURABA,REGION METROPOLITANA,URBANA,SLIGHT
235,-70.7258354096763,-33.46977464978,2017,ESTACION CENTRAL,REGION METROPOLITANA,URBANA,SLIGHT
236,-70.7258059622751,-33.4398503139407,2017,LO PRADO,REGION METROPOLITANA,URBANA,SERIOUS
237,-70.7257733231801,-33.3375400151594,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
238,-70.7256677157922,-33.4204360382924,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SERIOUS
239,-70.7254616001725,-33.3521875997778,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
240,-70.7248664333391,-33.3536816893583,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
241,-70.7248329003179,-33.4293815002558,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
242,-70.7245111004068,-33.563238699806,2017,SANTIAGO,REGION METROPOLITANA,URBANA,SLIGHT
243,-70.7245058735471,-33.4817984029737,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
244,-70.7244424731414,-33.4864920888386,2017,CERRILLOS,REGION METROPOLITANA,URBANA,SERIOUS
245,-70.7243872772509,-33.4206547678031,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
246,-70.7242856448664,-33.4296247470842,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
247,-70.724002299966,-33.4451487003521,2017,LO PRADO,REGION METROPOLITANA,URBANA,SLIGHT
248,-70.7237415999947,-33.4885532000699,2017,CERRILLOS,REGION METROPOLITANA,URBANA,SLIGHT
249,-70.7237290337677,-33.491730056097,2017,CERRILLOS,REGION METROPOLITANA,URBANA,SLIGHT
250,-70.7234934896327,-33.4287363580963,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SERIOUS
251,-70.7234450836235,-33.498752423985,2017,CERRILLOS,REGION METROPOLITANA,URBANA,SLIGHT
252,-70.7233094370807,-33.4442311445515,2017,LO PRADO,REGION METROPOLITANA,URBANA,SERIOUS
253,-70.7231326996143,-33.373440999802,2017,QUILICURA,REGION METROPOLITANA,URBANA,SLIGHT
254,-70.7230403131598,-33.4781278137474,2017,CERRILLOS,REGION METROPOLITANA,URBANA,FATAL
255,-70.722771600229,-33.4906717132288,2017,CERRILLOS,REGION METROPOLITANA,URBANA,SLIGHT
256,-70.722638600391,-33.4299775996863,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
