X,Y,FID,DIR_GEOCOD,LAT,LNG,VAL_COM,Año,Cód_Regi,Región,Comuna,Zona,Calle_Uno,Calle_Dos,Número,Direccion,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-70.5796912,-33.4543669999999,334,"Irarrázaval 4852, Ñuñoa, Región Metropolitana, Chile",-33.454367,-70.5796912,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,IRARRAZAVAL, ,4852,"IRARRAZAVAL  4852, ÑUÑOA",0,0,0,1,BICICLETA,0,0,0,1,1
-70.5796779,-33.5017697,335,"PD609-Avenida Las Torres / Esq. Nevado Incahuasi, Penalolen, Peñalolén, Región Metropolitana, Chile",-33.5017697,-70.5796779,1,2020,13,REGION METROPOLITANA,PEÑALOLEN,URBANA,LAS TORRES,NEVADO INCAHUASI,0,NEVADO INCAHUASI-LAS TORRES,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5796699,-33.4356461,336,"Coventry & Tobalaba, Ñuñoa, Región Metropolitana, Chile",-33.4356461,-70.5796699,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,TOBALABA,COVENTRY,0,TOBALABA-COVENTRY,0,0,0,1,BICICLETA,0,0,0,0,1
-70.5796495999999,-33.5892993,337,"Avenida Concha Y Toro & Ángel Pimentel, Puente Alto, Región Metropolitana, Chile",-33.5892993,-70.5796496,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,CONCHA Y TORO,ANGEL PIMENTEL,0,CONCHA Y TORO-ANGEL PIMENTEL,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5792476,-33.4542558,338,"Irarrázaval 4900, Ñuñoa, Región Metropolitana, Chile",-33.4542558,-70.5792476,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,IRARRAZAVAL, ,4900,"IRARRAZAVAL  4900, ÑUÑOA",0,1,0,0,BICICLETA,0,1,0,0,1
-70.5782483,-33.4380666,339,"Diego de Almagro 4998, Ñuñoa, Región Metropolitana, Chile",-33.4380666,-70.5782483,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,DIEGO DE ALMAGRO, ,4998,"DIEGO DE ALMAGRO  4998, ÑUÑOA",0,0,0,0,BICICLETA,0,0,0,0,1
-70.5780178,-33.6167328999999,340,"Tocornal Grez & Sargento Menadier, Puente Alto, Región Metropolitana, Chile",-33.6167329,-70.5780178,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,SGTO MENADIER,TOCORNAL GREZ,0,TOCORNAL GREZ-SGTO MENADIER,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5779847999999,-33.4382188999999,341,"Diego de Almagro & Hamburgo, Ñuñoa, Región Metropolitana, Chile",-33.4382189,-70.5779848,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,HAMBURGO,DIEGO DE ALMAGRO,0,HAMBURGO-DIEGO DE ALMAGRO,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5771213,-33.6009495999999,342,"Av. Concha Y Toro 1315, Puente Alto, Región Metropolitana, Chile",-33.6009496,-70.5771213,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,CONCHA Y TORO, ,1315,"CONCHA Y TORO  1315, PUENTE ALTO",0,1,0,0,BICICLETA,0,1,0,0,1
-70.5770376,-33.522403,343,"Walker Martinez, La Florida, Región Metropolitana, Chile",-33.522403,-70.5770376,1,2020,13,REGION METROPOLITANA,LA FLORIDA,URBANA,WALKER MARTINEZ,COND ALONSO DE ERCILLA 2,0,WALKER MARTINEZ-COND ALONSO DE ERCILLA 2,0,0,1,0,BICICLETA,0,0,1,0,1
-70.5768773,-33.4694958999999,344,"Rotonda Grecia, Ñuñoa, Región Metropolitana, Chile",-33.4694959,-70.5768773,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,AMERICO VESPUCIO,GRECIA,0,GRECIA-AMERICO VESPUCIO,0,0,0,1,BICICLETA,0,0,0,1,2
-70.5765678,-33.6057749,345,"Avenida Concha Y Toro & Eduardo Cordero, Puente Alto, Región Metropolitana, Chile",-33.6057749,-70.5765678,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,CONCHA Y TORO,EDUARDO CORDERO,0,EDUARDO CORDERO-CONCHA Y TORO,0,0,0,0,BICICLETA,0,0,0,0,1
-70.5759473,-33.5734221999999,346,"El Labrador 621, Puente Alto, Región Metropolitana, Chile",-33.5734222,-70.5759473,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,EL LABRADOR, ,621,"EL LABRADOR  621, PUENTE ALTO",0,0,0,0,BICICLETA,0,0,0,0,1
-70.5752957999999,-33.5854683,347,"Miguel Covarrubias 2811, Puente Alto, Región Metropolitana, Chile",-33.5854683,-70.5752958,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,LUIS MATTE,ESTACION QUEPE,0,LUIS MATTE-ESTACION QUEPE,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5746899,-33.4653947,348,"PD285-Av. Américo Vespucio / Esq. Alonso De Berríos, Penalolen, Peñalolén, Región Metropolitana, Chile",-33.4653947,-70.5746899,1,2020,13,REGION METROPOLITANA,PEÑALOLEN,URBANA,AMERICO VESPUCIO,LOS GUINDOS,0,LOS GUINDOS-AMERICO VESPUCIO,0,1,0,0,BICICLETA,0,1,0,0,1
-70.5746339,-33.5654704999999,349,"Río Calle Calle & Nonato Coo, Puente Alto, Región Metropolitana, Chile",-33.5654705,-70.5746339,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,RIO CALLE CALLE,NONATO COO,0,RIO CALLE CALLE-NONATO COO,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5741307,-33.4813259,350,"Santa María & Los Presidentes, Penalolen, Peñalolén, Región Metropolitana, Chile",-33.4813259,-70.5741307,1,2020,13,REGION METROPOLITANA,PEÑALOLEN,URBANA,LOS PRESIDENTES,STA MARIA,0,STA MARIA-LOS PRESIDENTES,0,0,1,1,BICICLETA,0,0,1,1,2
-70.5738211999999,-33.4360730999999,351,"Avenida Ossa & Las Crisálidas, La Reina, Región Metropolitana, Chile",-33.4360731,-70.5738212,1,2020,13,REGION METROPOLITANA,LA REINA,URBANA,OSSA,LAS CRISALIDAS,0,OSSA-LAS CRISALIDAS,0,1,0,0,BICICLETA,0,1,0,0,1
-70.5735506,-33.5916508,352,"Nemesio Vicuña & San Hugo, Puente Alto, Región Metropolitana, Chile",-33.5916508,-70.5735506,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,NEMESIO VICUÑA,SAN HUGO,0,SAN HUGO-NEMESIO VICUÑA,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5729266999999,-33.4430376999999,353,"Av. Ossa 1156, Ñuñoa, Región Metropolitana, Chile",-33.4430377,-70.5729267,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,OSSA, ,1156,"OSSA  1156, ÑUÑOA",0,1,0,0,BICICLETA,0,1,0,0,1
-70.5727727,-33.3902859999999,354,"Avenida Manquehue Norte & Irene Frei, Vitacura, Región Metropolitana, Chile",-33.390286,-70.5727727,1,2020,13,REGION METROPOLITANA,VITACURA,URBANA,MANQUEHUE NORTE,IRENE FREI,0,MANQUEHUE NORTE-IRENE FREI,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5724626,-33.45898,355,"Av. Américo Vespucio & Diag. Ote., Ñuñoa, Región Metropolitana, Chile",-33.45898,-70.5724626,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,DIAG ORIENTE,AMERICO VESPUCIO,0,DIAG ORIENTE-AMERICO VESPUCIO,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5720043999999,-33.4145366,356,"Del Inca & Luis Zegers, Las Condes, Región Metropolitana, Chile",-33.4145366,-70.5720044,1,2020,13,REGION METROPOLITANA,LAS CONDES,URBANA,DEL INCA,LUIS ZEGERS,0,LUIS ZEGERS-DEL INCA,0,1,0,0,BICICLETA,0,1,0,0,1
-70.5716815,-33.448014,357,"Avenida Ossa & Simón Bolívar, Ñuñoa, Región Metropolitana, Chile",-33.448014,-70.5716815,2,2020,13,REGION METROPOLITANA,LA REINA,URBANA,OSSA,SIMON BOLIVAR,0,SIMON BOLIVAR-OSSA,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5715913,-33.6020998,358,"Nemesio Vicuña & Domingo Tocornal, Puente Alto, Región Metropolitana, Chile",-33.6020998,-70.5715913,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,DOMINGO TOCORNAL,NEMESIO VICUNA,0,NEMESIO VICUNA-DOMINGO TOCORNAL,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5708998999999,-33.4533996,359,"Av. Américo Vespucio & Irarrázaval, Ñuñoa, Región Metropolitana, Chile",-33.4533996,-70.5708999,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,AMERICO VESPUCIO,IRARRAZAVAL,0,IRARRAZAVAL-AMERICO VESPUCIO,0,0,0,1,BICICLETA,0,0,0,0,2
-70.5703102,-33.5838003,360,"Apóstol Matías 2900, Puente Alto, Región Metropolitana, Chile",-33.5838003,-70.5703102,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,APOSTOL MATIAS, ,2900,"APOSTOL MATIAS  2900, PUENTE ALTO",0,0,0,0,BICICLETA,0,0,0,0,1
-70.5703010999999,-33.4000272999999,361,"PC98-Av. Manquehue Norte / Esq. Av. Pdte. Kennedy, Las Condes, Región Metropolitana, Chile",-33.4000273,-70.5703011,1,2020,13,REGION METROPOLITANA,LAS CONDES,URBANA,PDTE KENNEDY,MANQUEHUE NORTE,0,PDTE KENNEDY-MANQUEHUE NORTE,0,0,0,0,BICICLETA,0,0,0,0,1
-70.569067,-33.4037203,362,"Avenida Manquehue Norte & Cerro El Plomo, Las Condes, Región Metropolitana, Chile",-33.4037203,-70.569067,1,2020,13,REGION METROPOLITANA,LAS CONDES,URBANA,MANQUEHUE NORTE,CERRO EL PLOMO,0,MANQUEHUE NORTE-CERRO EL PLOMO,0,1,0,0,BICICLETA,0,1,0,0,1
-70.5687509,-33.4707233,363,"Avenida Grecia & Los Molineros, Penalolen, Peñalolén, Región Metropolitana, Chile",-33.4707233,-70.5687509,1,2020,13,REGION METROPOLITANA,PEÑALOLEN,URBANA,LOS MOLINEROS,GRECIA,0,LOS MOLINEROS-GRECIA,0,1,0,0,BICICLETA,0,1,0,0,1
-70.5686568,-33.5823854,364,"Nonato Coo & Maestro Palomo, Puente Alto, Región Metropolitana, Chile",-33.5823854,-70.5686568,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,NONATO COO,MAESTRO PALOMO,0,NONATO COO-MAESTRO PALOMO,0,0,0,1,BICICLETA,0,0,0,1,2
-70.5681035999999,-33.4533282,365,"Avenida Larrain & Güemes, La Reina, Región Metropolitana, Chile",-33.4533282,-70.5681036,1,2020,13,REGION METROPOLITANA,LA REINA,URBANA,LARRAIN,GUEMES,0,LARRAIN-GUEMES,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5680631,-33.5623119,366,"PE1486-Avenida México / Esq. Bahía Inglesa, La Florida, Región Metropolitana, Chile",-33.5623119,-70.5680631,2,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,BAHIA INGLESA,CANAL SAN ISIDRO,0,CANAL SAN ISIDRO-BAHIA INGLESA,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5673411,-33.4608253,367,"Javiera Carrera Sur & José Arrieta, Penalolen, Peñalolén, Región Metropolitana, Chile",-33.4608253,-70.5673411,1,2020,13,REGION METROPOLITANA,LA REINA,URBANA,JOSE ARRIETA,JAVIERA CARRERA SUR,0,JOSE ARRIETA-JAVIERA CARRERA SUR,1,0,0,0,BICICLETA,1,0,0,0,1
-70.5669994,-33.4531197,368,"Av. Larrain & Javiera Carrera Nte., La Reina, Región Metropolitana, Chile",-33.4531197,-70.5669994,1,2020,13,REGION METROPOLITANA,LA REINA,URBANA,LARRAIN,JAVIERA CARRERA NORTE,0,LARRAIN-JAVIERA CARRERA NORTE,0,0,0,2,BICICLETA,0,0,0,1,1
-70.5665007999999,-33.6017652,369,"Haendel Nº 763, Puente Alto, Región Metropolitana, Chile",-33.6017652,-70.5665008,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,SAN JOSE,OSCAR CASTRO,0,SAN JOSE-OSCAR CASTRO,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5661039999999,-33.4528779999999,370,"Av. Larrain 6162, La Reina, Región Metropolitana, Chile",-33.452878,-70.566104,1,2020,13,REGION METROPOLITANA,LA REINA,URBANA,LARRAIN, ,6162,"LARRAIN  6162, LA REINA",0,1,0,0,BICICLETA,0,1,0,0,1
-70.5653647,-33.4615369,371,"José Arrieta 6316, La Reina, Región Metropolitana, Chile",-33.4615369,-70.5653647,1,2020,13,REGION METROPOLITANA,LA REINA,URBANA,JOSE ARRIETA, ,6316,"JOSE ARRIETA  6316, LA REINA",1,0,0,0,BICICLETA,1,0,0,0,1
-70.5652738,-33.5743595,372,"Av. Mexico 3510, Santiago, Puente Alto, Región Metropolitana, Chile",-33.5743595,-70.5652738,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,MEXICO,LOS JARDINES,0,MEXICO-LOS JARDINES,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5647897999999,-33.4592789,373,"Lynch Sur & Francisco de Villagra, La Reina, Región Metropolitana, Chile",-33.4592789,-70.5647898,1,2020,13,REGION METROPOLITANA,LA REINA,URBANA,FRANCISCO DE VILLAGRA,LYNCH SUR,0,LYNCH SUR-FRANCISCO DE VILLAGRA,0,1,0,0,BICICLETA,0,1,0,0,1
-70.5642339999999,-33.4272575,374,"Avenida Manquehue Sur & Latadia, Las Condes, Región Metropolitana, Chile",-33.4272575,-70.564234,1,2020,13,REGION METROPOLITANA,LAS CONDES,URBANA,MANQUEHUE SUR,LATADIA,0,MANQUEHUE SUR-LATADIA,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5639838,-33.41949,375,"Av. Manquehue Sur 1220, Las Condes, Región Metropolitana, Chile",-33.41949,-70.5639838,1,2020,13,REGION METROPOLITANA,LAS CONDES,URBANA,ISABEL LA CATOLICA,DE MAGALLANES,0,ISABEL LA CATOLICA-DE MAGALLANES,0,1,0,0,BICICLETA,0,1,0,0,1
-70.5639834,-33.5925672,376,"Avenida Las Nieves Oriente & Líbano, Puente Alto, Región Metropolitana, Chile",-33.5925672,-70.5639834,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,LAS NIEVES ORIENTE,LIBANO,0,LIBANO-LAS NIEVES ORIENTE,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5633255999999,-33.4468017,377,"Simón Bolívar & Loreley, La Reina, Región Metropolitana, Chile",-33.4468017,-70.5633256,1,2020,13,REGION METROPOLITANA,LA REINA,URBANA,LORELEY,SIMON BOLIVAR,0,SIMON BOLIVAR-LORELEY,0,1,0,0,BICICLETA,0,1,0,0,1
-70.5628764,-33.4718128,378,"Avenida Grecia & Ictinos, Penalolen, Peñalolén, Región Metropolitana, Chile",-33.4718128,-70.5628764,1,2020,13,REGION METROPOLITANA,PEÑALOLEN,URBANA,GRECIA,ICTINOS,0,ICTINOS-GRECIA,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5622156,-33.4629666,379,"Pje. 141 A, Penalolen, Peñalolén, Región Metropolitana, Chile",-33.4629666,-70.5622156,1,2020,13,REGION METROPOLITANA,PEÑALOLEN,URBANA,ORIENTAL,PSJE 141 A,0,PSJE 141 A-ORIENTAL,0,1,0,0,BICICLETA,0,1,0,0,1
-70.5618254,-33.3943699,380,"Av. Pdte. Kennedy Lateral & Gerónimo de Alderete, Vitacura, Región Metropolitana, Chile",-33.3943699,-70.5618254,1,2020,13,REGION METROPOLITANA,VITACURA,URBANA,PDTE KENNEDY,GERONIMO DE ALDERETE,0,PDTE KENNEDY-GERONIMO DE ALDERETE,0,0,0,1,BICICLETA,0,0,0,1,1
-70.561004,-33.50645,381,"Tobalaba & Avenida Quebrada de Macul, Penalolen, Peñalolén, Región Metropolitana, Chile",-33.50645,-70.561004,1,2020,13,REGION METROPOLITANA,PEÑALOLEN,URBANA,TOBALABA,QUEB DE MACUL,0,TOBALABA-QUEB DE MACUL,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5605504,-33.4989221,382,"Tobalaba & Avenida Quilín, Penalolen, Peñalolén, Región Metropolitana, Chile",-33.4989221,-70.5605504,1,2020,13,REGION METROPOLITANA,PEÑALOLEN,URBANA,TOBALABA,QUILIN,0,TOBALABA-QUILIN,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5600375,-33.4062071999999,383,"Avenida las Condes & Juan Montalvo, Las Condes, Región Metropolitana, Chile",-33.4062072,-70.5600375,1,2020,13,REGION METROPOLITANA,LAS CONDES,URBANA,LAS CONDES,JUAN MONTALVO,0,LAS CONDES-JUAN MONTALVO,0,0,0,1,BICICLETA,0,0,0,0,1
-70.5594051,-33.5774273,384,"Del Valle Central & Avenida Las Nieves Oriente, Puente Alto, Región Metropolitana, Chile",-33.5774273,-70.5594051,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,LAS NIEVES ORIENTE,DEL VALLE CENTRAL,0,LAS NIEVES ORIENTE-DEL VALLE CENTRAL,0,1,0,0,BICICLETA,0,1,0,0,1
-70.5589896,-33.4458422,385,"Simón Bolívar & Santa Rita, La Reina, Región Metropolitana, Chile",-33.4458422,-70.5589896,1,2020,13,REGION METROPOLITANA,LA REINA,URBANA,SIMON BOLIVAR,STA RITA,0,STA RITA-SIMON BOLIVAR,0,1,0,0,BICICLETA,0,1,0,0,1
-70.5570030999999,-33.5614777,386,"Av. Camilo Henríquez 4318, Puente Alto, Región Metropolitana, Chile",-33.5614777,-70.5570031,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,CAMILO HENRIQUEZ,SAN JORGE,0,SAN JORGE-CAMILO HENRIQUEZ,0,0,0,1,BICICLETA,0,0,0,1,1
-70.5561247,-33.5693034999999,387,"Av. Camilo Henríquez 3296, Santiago, Puente Alto, Región Metropolitana, Chile",-33.5693035,-70.5561247,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,CAMILO HENRIQUEZ, ,3296,"CAMILO HENRIQUEZ  3296, PUENTE ALTO",0,0,1,0,BICICLETA,0,0,1,0,1
-70.5558247,-33.3684966,388,"Gran Vía & Vía Roja, Vitacura, Región Metropolitana, Chile",-33.3684966,-70.5558247,1,2020,13,REGION METROPOLITANA,VITACURA,URBANA,GRAN VIA,VIA ROJA,0,VIA ROJA-GRAN VIA,0,0,0,2,BICICLETA,0,0,0,2,2
-70.5558027999999,-33.5740415,389,"Av. Gabriela Ote. #2710, Puente Alto, Región Metropolitana, Chile",-33.5740415,-70.5558028,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,GABRIELA ORIENTE,MEXICO,0,MEXICO-GABRIELA ORIENTE,0,1,0,0,BICICLETA,0,1,0,0,1
-70.5555957999999,-33.3841582,390,"Mar Jónico, Vitacura, Región Metropolitana, Chile",-33.3841582,-70.5555958,1,2020,13,REGION METROPOLITANA,VITACURA,URBANA,MAR JONICO, ,1410,"MAR JONICO  1410, VITACURA",0,1,0,0,BICICLETA,0,1,0,0,1
-70.5554257,-33.5842478999999,391,"Luis Matte Larraín & Ramón Venegas, Puente Alto, Región Metropolitana, Chile",-33.5842479,-70.5554257,1,2020,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,RAMON VENEGAS,LUIS MATTE LARRAIN,0,RAMON VENEGAS-LUIS MATTE LARRAIN,0,1,0,0,BICICLETA,0,1,0,0,1
